policy,cap_factor,offered_rps,n_completed,cache_hit_rate,p50_ms,p95_ms,p99_ms,throughput_rps,load_imbalance,busy_imbalance,mean_queue_wait_ms,mean_batch_size,utilization
round_robin,,2.72,27000,0.6935925925925925,4059.225880295504,6045.646559340006,7612.188148928029,2.737911667693572,1.001037037037037,1.0026098034960162,97.72784297618381,1.0360904852357107,0.6715393147969736
prefix,1.05,2.72,27000,0.7391481481481481,4028.9202999519184,5862.873374795401,7310.297322323866,2.738026125498625,1.0776296296296297,1.0603031019905858,102.53106039762173,1.0317078203452783,0.6678538230410905
prefix,1.1,2.72,27000,0.7672962962962963,4024.4535690573975,5971.354942723224,7526.71448841252,2.737633393757629,1.1096296296296295,1.0874303865574997,115.52213672682436,1.0350538227987855,0.6637822650502592
prefix,1.25,2.72,27000,0.816,4049.0293039130047,6379.85773568917,8290.15423821172,2.737902641550885,1.1894814814814816,1.1632302645393822,163.68138870488028,1.051156271899089,0.6540275261714865
prefix,1.5,2.72,27000,0.8604814814814815,4096.995989448973,7466.339052227279,10214.893686339157,2.7380096058152943,1.300888888888889,1.2554689481871055,220.99550038985205,1.0923390620448588,0.6377638728945302
prefix,1.75,2.72,27000,0.8913333333333333,4169.365840236191,8923.268789380556,12283.912760520838,2.7376844310006643,1.4161481481481482,1.3484703779871874,279.45997745393146,1.1456065986940085,0.6212435985486662
prefix,2.0,2.72,27000,0.9034444444444445,4211.782251884462,9835.071309159975,13470.973492075576,2.737842631967406,1.4845925925925927,1.3893896075340062,309.6920114362875,1.175917215428034,0.61269547049899
prefix,2.5,2.72,27000,0.920037037037037,4309.81201739423,12035.091817003116,16493.871633982682,2.7375743611029115,1.6693333333333333,1.494745937386585,371.31877343510524,1.243781094527363,0.5961597727779376
prefix,3.0,2.72,27000,0.9281111111111111,4422.930099338992,14805.155030821728,20514.306152091085,2.7370516739047566,1.8368888888888888,1.5940558977168768,457.7887889364312,1.3270813058480049,0.5797332574425993
prefix,4.0,2.72,27000,0.9485925925925925,4856.077864143532,21442.213217666278,30387.02095067068,2.7371777168753395,2.0761481481481483,1.7409449654347704,680.469550652116,1.5068561956903912,0.5498238545516618
prefix,inf,2.72,27000,0.950925925925926,4843.213111007586,21330.045251457766,30346.923611484846,2.737132199962489,2.082222222222222,1.7463205137752547,698.4508406658147,1.5067048365225253,0.5490295743939899
